JD,Flx(V),E_flx,Q/I,E_Q/I,U/I,E_U/I,V-J,E_V-J
5069.26,8.57E-11,1.94E-13,-0.0027,0.0008,0.0304,0.0013,1.889,0.003
5070.3,8.69E-11,9.08E-14,-0.0543,0.0034,-0.0789,0.0019,1.93,0.003
5085.21,6.06E-11,9.61E-14,0.0028,0.003,-0.0893,0.0032,1.97,0.006
5095.2,1.07E-10,2.41E-13,0.0743,0.0022,0.0391,0.0059,1.724,0.003
5101.33,7.05E-11,2.56E-13,-0.0326,0.0083,0.0496,0.0051,1.901,0.006
5108.25,1.17E-10,3.19E-13,0.0043,0.0025,0.008,0.001,1.837,0.004
5113.18,1.26E-10,3.01E-13,-0.0335,0.0008,0.077,0.002,1.802,0.004
5113.92,1.32E-10,4.08E-13,-0.0232,0.0017,0.0364,0.0109,1.851,0.005
5115.31,1.49E-10,2.00E-13,0.0022,0.0021,0.0545,0.0022,1.794,0.002
5116.22,1.24E-10,1.70E-13,0.0043,0.0012,-0.0031,0.0025,1.854,0.003
5118.35,1.18E-10,2.06E-13,-0.0768,0.0008,-0.0169,0.002,1.853,0.002
5119.17,7.69E-11,2.06E-13,-0.018,0.0026,0.0734,0.0001,1.935,0.004
5122.36,1.06E-10,3.13E-13,-0.0213,0.0082,0.0047,0.0065,1.878,0.007
5123.36,9.64E-11,4.74E-13,0.0845,0.0047,-0.0024,0.0066,1.892,0.009
5125.22,9.34E-11,1.80E-13,-0.0238,0.002,-0.0091,0.0027,1.912,0.002
5126.3,8.65E-11,1.04E-13,-0.0848,0.002,-0.0149,0.0045,1.946,0.002
5127.27,1.06E-10,1.69E-13,-0.1207,0.0009,-0.0822,0.0016,1.824,0.002
5129.25,8.45E-11,1.65E-13,-0.0931,0.0031,-0.0652,0.0028,1.96,0.003
5131.31,7.98E-11,1.90E-13,-0.1092,0.002,0.0064,0.002,1.978,0.004
5132.27,7.06E-11,1.47E-13,-0.079,0.0057,0.068,0.0032,2.01,0.003
5133.35,7.89E-11,2.24E-13,-0.1094,0.005,-0.0067,0.0031,1.969,0.005
5134.13,7.94E-11,2.34E-13,-0.0936,0.003,0.0149,0.0009,2.044,0.004
5138.3,8.04E-11,5.19E-13,-0.0674,0.0062,0.0532,0.0086,1.965,0.016
5139.32,6.59E-11,1.07E-13,-0.0804,0.0066,0.0323,0.0028,2.051,0.003
5140.27,7.64E-11,3.51E-13,-0.1424,0.0096,-0.0362,0.0053,2.032,0.021
5141.3,7.71E-11,1.05E-13,-0.1125,0.0022,-0.0214,0.0023,2.034,0.002
5155.23,5.35E-11,1.09E-13,-0.1744,0.0018,0.0361,0.0064,2.136,0.099
5166.32,6.21E-11,8.48E-14,-0.0019,0.0024,0.0829,0.0021,2,0.018
5167.13,5.18E-11,4.00E-14,-0.0346,0.0018,0.0437,0.0024,2.062,0.005
5168.1,5.59E-11,2.91E-13,-0.0573,0.002,0.0851,0.0012,2.093,0.02
5169.24,5.20E-11,5.28E-14,-0.063,0.0031,0.0392,0.0044,2.116,0.014
5170.2,5.45E-11,1.98E-13,-0.0806,0.0016,0.0426,0.0024,2.194,0.004
5171.26,6.31E-11,2.12E-13,-0.0752,0.008,0.0111,0.0038,1.99,0.004
5172.14,7.00E-11,1.31E-13,-0.0098,0.0009,0.0648,0.0047,2.075,0.004
5173.33,7.52E-11,4.77E-14,-0.0077,0.001,0.04,0.0021,2.023,0.002
5174.18,6.21E-11,1.27E-13,0.0169,0.0069,0.0004,0.0048,2.065,0.003
5177.23,9.63E-11,2.41E-13,-0.0586,0.0079,-0.0944,0.0056,2.076,0.004
5178.02,1.03E-10,3.14E-13,-0.1731,0.003,-0.1042,0.0046,2.013,0.004
5179.12,8.94E-11,2.40E-13,-0.1704,0.0033,0.0003,0.0021,2.037,0.004
5180.06,8.93E-11,1.87E-13,-0.1047,0.0064,-0.0359,0.0085,1.908,0.003
5182.19,1.17E-10,4.04E-13,-0.0841,0.007,-0.0804,0.0234,1.9,0.05
5186.1,1.31E-10,1.39E-13,-0.1621,0.0009,-0.0033,0.0065,1.996,0.003
5188.04,5.75E-11,6.60E-14,-0.0533,0.0022,0.0929,0.0022,2.004,0.003
5189.17,5.29E-11,8.19E-14,-0.1025,0.002,-0.0234,0.0058,2.17,0.064
5190.1,6.83E-11,2.91E-13,-0.139,0.0135,-0.0289,0.0007,1.989,0.008
